LetterPair,Algorithm
BA,"[Lw': [R' D2 R, U]]"
BD,"[Lw D: [R' D' R, U]]"
BQ,"[R: [U, R D R']]"
BR,"[R': [R' D' R, U']]"
BS,"[R' D R, U]"
BT,"[U', R D' R']"
BE,"[R: [U2, R D R']]"
BG,"[D': [R' D R, U]]"
BH,"[D: [R' D' R, U]]"
BK,"[U', R D R']"
BL,"[R' D' R, U]"
BN,"[R': [R' D' R, U2]]"
BO,"[R' D2 R, U]"
BP,"[D: [U', R D' R']]"
BU,"[x': [D2, R U R']]"
BV,"[U' R' D R: [R D' R', U]]"
BW,"[U R D' R': [U', R' D R]]"
BX,"[x: [R' U' R, D2]]"
DA,"[R' D'U': [R' D R, U']]"
DQ,"[U' R: [R D R', U2]]"
DS,"[R' D R, U']"
DT,"[U': [R D' R', U']]"
DG,"[D': [R' D R, U']]"
DH,"[D: [R' D' R, U']]"
DJ,"[U' R': [U2, R' D' R]]"
DK,"[U': [R D R', U']]"
DL,"[R' D' R, U']"
DM,"[U' R: [R D R', U]]"
DN,"[U' R': [U', R' D' R]]"
DO,"[R' D2 R, U']"
DP,"[D': [R' D' R, U']]"
DU,"[U' x': [R U R', D2]]"
DV,"[D R D' R': [R' D R, U']]"
DW,"[R D' R': [R' D R, U']]"
DX,"[R' D' R : [R U' R', D]]"
AR,"[F: [U2, R' D' R]]"
AS,"[R' D R, U2]"
AT,"[U': [R D' R', U2]]"
AE,"[Lw': [U2, R' D2 R]]"
AG,"[DU': [R D R', U2]]"
AH,"[U'D': [R D' R', U2]]"
AJ,"[R D R': [R' D2 R, U2]]"
AK,"[U': [R D R', U2]]"
AL,"[R' D' R, U2]"
AM,"[R' D': [U2, R' D R]]"
AO,"[R' D2 R, U2]"
AP,"[U' D: [R D' R', U2]]"
AU,"[R F' R' U': [R D R', U2]]"
AV,"[D R D' R': [R' D R, U2]]"
AW,"[R D' R': [R' D R, U2]]"
AX,"[D' R D' R': [R' D R, U2]]"
QR,"[L, U' R' U]"
QS,"[U R' U': [R' D R, U]]"
QT,"[R D': [R D R', U]]"
QE,"[Lw' U: [R D' R', U2]]"
QG,"[R U R' : [R' D' R, U']]"
QH,"[R U: [R' D R, U]]"
QJ,"[R: [R2' D R2 D' R2', U]]"
QK,"[R D: [R D R', U]]"
QL,"[D' R U : [R' D R, U]]"
QM,"[U R': [U', R' D' R]]"
QO,"[U R': [U', R' D2 R]]"
QP,"[R U: [R' D' R, U]]"
QU,"[R: [R D2 R', U]]"
QV,"[D2 R: [R D' R', U]]"
QW,"[D R: [R D' R', U]]"
QX,"[R: [R D' R', U]]"
RS,"[R' U' : [D, R U R']]"
RT,"[z: [R' D' R, U2]]"
RG,"[R, U L U']"
RH,"[D R' U': [D', R U R']]"
RJ,"[F' U: [R' D R, U2]]"
RK,"[R' U': [R' D' R, U2]]"
RL,"[R' U': [D', R U R']]"
RM,"[R', U L U']"
RN,"[x': [R U' R', D]]"
RO,"[x': [R U2 R', D]]"
RP,"[F: [D', R U R']]"
RU,"[U' R' U: [R U' R', D]]"
RV,"[R U' R': [R' D' R, U2]]"
RW,"[z: [D2, R U R']]"
RX,"[R2 D2: [R U' R', D]]"
ST,"[z': [R U' R', D']]"
SE,"[D R': [F2, R D' R' D]]"
SG,"[U: [D, R U' R']]"
SJ,"[U R U: [R' D R, U2]]"
SK,"[DU: [R U' R', D2]]"
SL,"[U R' D: [R U' R', D2]]"
SM,"[R' U: [R U' R', D]]"
SN,"[Lw U2: [R D' R', U]]"
SO,"[UD: [R U' R', D]]"
SP,"[R' U' R: [U2, R' D R]]"
SV,"[UD R D' : [U', R' D R]]"
SW,"[U R : [D, R U' R']]"
SX,"[F': [R U' R', D2]]"
TE,"[Lw': [U2, R' D R]]"
TG,"[U R U': [R D' R', U']]"
TH,"[D2: [R U R', D']]"
TJ,"[U R: [R D' R', U2]]"
TK,"[R D': [R' U' R, D2]]"
TL,"[D2, R U R']"
TM,"[U' L U, R]"
TN,"[U2 R: [R D' R', U]]"
TP,"[D': [D', R U R']]"
TU,"[R D R' D: [R U R', D2]]"
TV,"[D2 R: [R D' R', U']]"
TW,"[R D' R': [R' D R, U]]"
EG,"[R': [R D' R' D, F2]]"
EH,"[R U: [R' D R, U2]]"
EJ,"[R' : [U', R2 D' R2 D R2]]"
EK,"[Lw' U': [R D R', U2]]"
EL,"[Lw': [R' D' R, U2]]"
EM,"[R D'U: [R' D' R, U2]]"
EN,"[R U R' D': [U2, R' D R]]"
EO,"[D R' D : [F2, D' R D R']]"
EP,"[R U: [R' D' R, U2]]"
EU,"[R UD: [R' D' R, U2]]"
EV,"[D' R UD: [R' D' R, U2]]"
EW,"[D R: [R D' R', U2]]"
EX,"[R: [R D' R', U2]]"
GH,"[U L' U', R]"
GJ,"[U' R' U: [R D R', U2]]"
GK,"[U: [R U' R', D']]"
GM,"[D' R' U: [R U' R', D]]"
GN,"[R: [U' L' U, R]]"
GO,"[U: [R U' R', D2]]"
GP,"[D R D: [R' U' R, D2]]"
GU,"[R : [R' U R U', F2]]"
GW,"[U R D': [U', R' D R]]"
GX,"[z: [R U2 R', D]]"
HJ,"[F' U: [R' D' R, U2]]"
HK,"[R D: [D, R' U' R]]"
HL,"[D, R U R']"
HM,"[R', U L' U']"
HN,"[D x': [R U' R', D']]"
HO,"[D' R D': [R' U' R, D2]]"
HP,"[D: [R U R', D2]]"
HV,"[R U' R': [R' D R, U2]]"
HW,"[D R: [R D' R', U']]"
HX,"[Lw' D: [R' D' R, U']]"
JK,"[U R U': [R' D' R, U2]]"
JL,"[U' R' U'D: [R D' R', U2]]"
JN,"[U R: [U2, R D R']]"
JO,"[U' R' U': [R D' R', U2]]"
JP,"[UD R: [U2, R D' R']]"
JU,"[U' R': [R' D R, U2]]"
JV,"[U' D' R': [R' D R, U2]]"
JW,"[F': [U2, R D R']]"
JX,"[U'D R': [R' D R, U2]]"
KL,"[R D': [R' D R, U]]"
KM,"[U' R U: [R' U' R, D]]"
KN,"[R' U: [R' D' R, U]]"
KO,"[U': [R' U' R, D']]"
KU,"[U' R': [R' D R, U]]"
KV,"[R U' D' R' : [R' D R, U2]]"
KX,"[R2 D2: [R U R', D]]"
LM,"[R D: [R D' R', U']]"
LN,"[x': [R U' R', D']]"
LO,"[x': [R U2 R', D']]"
LP,"[R U R', D']"
LU,"[R D: [U, R' D' R]]"
LW,"[R U' R' D R: [U, R D' R']]"
LX,"[R: [R D' R', U']]"
MN,"[R, U' L' U]"
MO,"[R' U: [D2, R U' R']]"
MP,"[R U': [R' U R, D]]"
MU,"[UD R' U': [R U R', D']]"
MV,"[U R' U': [R U R', D']]"
MW,"[D R U': [R' U R, D']]"
MX,"[R U': [R' U R, D']]"
NO,"[U' R' U': [R D' R', U']]"
NP,"[R2 U : [R D R', U2]]"
NU,"[U' R': [R' D R, U']]"
NV,"[U'D' R': [R' D R, U']]"
NW,"[U R : [D', R U' R']]"
NX,"[U'D R': [R' D R, U']]"
OP,"[U': [R', U' L U]]"
OU,"[x': [D2, R U2 R']]"
OV,"[U'D' R': [R' D R, U]]"
OW,"[U R: [D2, R U' R']]"
PU,"[D' R: [R D' R', U']]"
PV,"[D' R D: [U, R' D' R]]"
PW,"[R U' D' : [D2, R' U R]]"
UV,"[U' R' F' : [R U' R', D']]"
UW,"[U' R2: [R2 U R2 U' R2, D]]"
UX,"[x U: [R' D R, U2]]"
VW,"[F' R U': [R' D' R, U2]]"
VX,"[R U' R' U: [R D' R', U2]]"
WX,"[z: [R U2 R', D2]]"
AB,"[Lw': [U, R' D2 R]]"
DB,"[Lw D: [U, R' D' R]]"
QB,"[R: [R D R', U]]"
RB,"[R': [U', R' D' R]]"
SB,"U, [R' D R]"
TB,"R D' R', [U']"
EB,"[R: [R D R', U2]]"
GB,"[D': [U, R' D R]]"
HB,"[D: [U, R' D' R]]"
KB,"R D R', [U']"
