LetterPair,Algorithm
AB,"[Lw': [U, R' D2 R]]"
AD,"[R' D'U': [U', R' D R]]"
AE,"[Lw': [U2, R' D2 R]]"
AG,"[DU': [R D R', U2]]"
AH,"[U'D': [R D' R', U2]]"
AJ,"[R D R': [R' D2 R, U2]]"
AK,"[U': [R D R', U2]]"
AL,"[R' D' R, U2]"
AM,"[R' D': [U2, R' D R]]"
AO,"[R' D2 R, U2]"
AP,"[U' D: [R D' R', U2]]"
AR,"[F: [U2, R' D' R]]"
AS,"[R' D R, U2]"
AT,"[U': [R D' R', U2]]"
AU,"[R F' R' U': [R D R', U2]]"
AV,"[D R D' R': [R' D R, U2]]"
AW,"[R D' R': [R' D R, U2]]"
AX,"[D' R D' R': [R' D R, U2]]"
BA,"[Lw': [R' D2 R, U]]"
BD,"[Lw D: [R' D' R, U]]"
BE,"[R: [U2, R D R']]"
BG,"[D': [R' D R, U]]"
BH,"[D: [R' D' R, U]]"
BK,"[U', R D R']"
BL,"[R' D' R, U]"
BN,"[R': [R' D' R, U2]]"
BO,"[R' D2 R, U]"
BP,"[D: [U', R D' R']]"
BQ,"[R: [U, R D R']]"
BR,"[R': [R' D' R, U']]"
BS,"[R' D R, U]"
BT,"[U', R D' R']"
BU,"[x': [D2, R U R']]"
BV,"[U' R' D R: [R D' R', U]]"
BW,"[U R D' R': [U', R' D R]]"
BX,"[x: [R' U' R, D2]]"
DA,"[R' D'U': [R' D R, U']]"
DB,"[Lw D: [U, R' D' R]]"
DG,"[D': [R' D R, U']]"
DH,"[D: [R' D' R, U']]"
DJ,"[U' R': [U2, R' D' R]]"
DK,"[U': [R D R', U']]"
DL,"[R' D' R, U']"
DM,"[U' R: [R D R', U]]"
DN,"[U' R': [U', R' D' R]]"
DO,"[R' D2 R, U']"
DP,"[D': [R' D' R, U']]"
DQ,"[U' R: [R D R', U2]]"
DS,"[R' D R, U']"
DT,"[U': [R D' R', U']]"
DU,"[U' x': [R U R', D2]]"
DV,"[D R D' R': [R' D R, U']]"
DW,"[R D' R': [R' D R, U']]"
DX,"[R' D' R : [R U' R', D]]"
EA,"[Lw': [R' D2 R, U2]]"
EB,"[R: [R D R', U2]]"
EG,"[R': [R D' R' D, F2]]"
EH,"[R U: [R' D R, U2]]"
EJ,"[R' : [U', R2 D' R2 D R2]]"
EK,"[Lw' U': [R D R', U2]]"
EL,"[Lw': [R' D' R, U2]]"
EM,"[R D'U: [R' D' R, U2]]"
EN,"[R U R' D': [U2, R' D R]]"
EO,"[D R' D : [F2, D' R D R']]"
EP,"[R U: [R' D' R, U2]]"
EQ,"[Lw' U: [U2, R D' R']]"
ES,"[D R': [R D' R' D, F2]]"
ET,"[Lw': [R' D R, U2]]"
EU,"[R UD: [R' D' R, U2]]"
EV,"[D' R UD: [R' D' R, U2]]"
EW,"[D R: [R D' R', U2]]"
EX,"[R: [R D' R', U2]]"
GA,"[DU': [U2, R D R']]"
GB,"[D': [U, R' D R]]"
GD,"[D': [U', R' D R]]"
GE,"[R': [F2, R D' R' D]]"
GH,"[U L' U', R]"
GJ,"[U' R' U: [R D R', U2]]"
GK,"[U: [R U' R', D']]"
GM,"[D' R' U: [R U' R', D]]"
GN,"[R: [U' L' U, R]]"
GO,"[U: [R U' R', D2]]"
GP,"[D R D: [R' U' R, D2]]"
GQ,"[R U R' : [U', R' D' R]]"
GR,"U L U', [R]"
GS,"[U: [R U' R', D]]"
GT,"[U R U': [U', R D' R']]"
GU,"[R : [R' U R U', F2]]"
GW,"[U R D': [U', R' D R]]"
GX,"[z: [R U2 R', D]]"
HA,"[U'D': [U2, R D' R']]"
HB,"[D: [U, R' D' R]]"
HD,"[D: [U', R' D' R]]"
HE,"[R U: [U2, R' D R]]"
HG,"R, [U L' U']"
HJ,"[F' U: [R' D' R, U2]]"
HK,"[R D: [D, R' U' R]]"
HL,"[D, R U R']"
HM,"[R', U L' U']"
HN,"[D x': [R U' R', D']]"
HO,"[D' R D': [R' U' R, D2]]"
HP,"[D: [R U R', D2]]"
HQ,"[R U: [U, R' D R]]"
HR,"[D R' U': [R U R', D']]"
HT,"[D2: [D', R U R']]"
HV,"[R U' R': [R' D R, U2]]"
HW,"[D R: [R D' R', U']]"
HX,"[Lw' D: [R' D' R, U']]"
JA,"[R D R': [U2, R' D2 R]]"
JD,"[U' R': [R' D' R, U2]]"
JE,"[R' : [R2 D' R2 D R2, U']]"
JG,"[U' R' U: [U2, R D R']]"
JH,"[F' U: [U2, R' D' R]]"
JK,"[U R U': [R' D' R, U2]]"
JL,"[U' R' U'D: [R D' R', U2]]"
JN,"[U R: [U2, R D R']]"
JO,"[U' R' U': [R D' R', U2]]"
JP,"[UD R: [U2, R D' R']]"
JQ,"[R: [U, R2' D R2 D' R2']]"
JR,"[F' U: [U2, R' D R]]"
JS,"[U R U: [U2, R' D R]]"
JT,"[U R: [U2, R D' R']]"
JU,"[U' R': [R' D R, U2]]"
JV,"[U' D' R': [R' D R, U2]]"
JW,"[F': [U2, R D R']]"
JX,"[U'D R': [R' D R, U2]]"
KA,"[U': [U2, R D R']]"
KB,"R D R', [U']"
KD,"[U': [U', R D R']]"
KE,"[Lw' U': [U2, R D R']]"
KG,"[U: [D', R U' R']]"
KH,"[R D: [R' U' R, D]]"
KJ,"[U R U': [U2, R' D' R]]"
